Organisation ID,Id,Name,Type - (Value),Publishing Organisations,URL,Archive URL,Internal URL,Publication Date,Accessed Date
INDIGO-ORG-0001,source1,Companies House,Website,,https://find-and-update.company-information.service.gov.uk/company/02963378,,,,2023-03-08
INDIGO-ORG-0001,source2,Their own website,Website,,https://www.sheffieldfutures.org.uk/,,,,2023-03-08
INDIGO-ORG-0001,source3,Charity Commission,Website,,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/1044940,,,,2023-03-08
INDIGO-ORG-0002,source1,Own website,Website,,https://www.triodos.co.uk/,,,,2023-03-08
INDIGO-ORG-0002,source2,Companies House,Website,,https://find-and-update.company-information.service.gov.uk/company/11379025,,,,2023-03-08
INDIGO-ORG-0002,source3,Financial Conduct Authority,Website,,https://register.fca.org.uk/s/firm?id=0010X00004EMRvAQAX,,,,2023-03-08
INDIGO-ORG-0009,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/qbe-insurance-group/,,,,
INDIGO-ORG-0062,source1,Old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/bertha-centre-social-innovation-and-entreprenurship/,,,,
INDIGO-ORG-0180,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/kaivalya-education-foundation/,,,,
INDIGO-ORG-0186,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/comic-relief/,,,,
INDIGO-ORG-0279,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/instiglio/,,,,
INDIGO-ORG-0282,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/swiss-state-secretariat-economic-affairs-seco/,,,,
INDIGO-ORG-0283,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/fundaci%C3%B3n-corona/,,,,
INDIGO-ORG-0534,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/ubs-optimus-foundation/,,,,
INDIGO-ORG-0979,source1,Old GO Lab Directory of Organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/village-enterprise/,,,,
INDIGO-ORG-1027,source1,Old GO Lab Directory of Organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/aga-khan-foundation-uk/,,,,
INDIGO-ORG-1276,source1,old GO Lab directory of organisations,Website,,https://golab.bsg.ox.ac.uk/community/directory/ikea-foundation/,,,,
INDIGO-ORG-1427,source1,COMPASS Information Memorandum,Report,,http://compassleavingcare.org.au/wp-content/uploads/2020/06/COMPASS-Information-Memo.pdf ,,,2018-05,
INDIGO-ORG-1428,source1,COMPASS Information Memorandum,Report,,http://compassleavingcare.org.au/wp-content/uploads/2020/06/COMPASS-Information-Memo.pdf,,,,
INDIGO-ORG-1431,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1432,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1433,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1434,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1435,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1436,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1437,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1438,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1439,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1440,source1,Carolinian Canada ,Website,,https://caroliniancanada.ca/dzcib/press/scaling-one-canada%E2%80%99s-most-innovative-conservation-finance-solutions-20211123,,,,
INDIGO-ORG-1441,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1442,source1,The Deshkan Ziibi Conservation Impact Bond Report,Report,,https://caroliniancanada.ca/dzcib/report,,,,
INDIGO-ORG-1469,source1,Email correspondence with Nicole Wyatt on 19th December 2022,Email correspondence,,,,,,
INDIGO-ORG-1470,source1,Email correspondence from Nicole Wyatt from EOF on 19th December 2022,Email correspondence,,,,,,
INDIGO-ORG-1471,source1,Email correspondence with Nicole Wyatt from EOF on 19th December 2022,Email correspondence,,,,,,
