Project ID,Service Provision ID - (Value),Location - Name - (Value),Location - Postcode - (Value),Location - Country - (Value),Lat/Lng - Lat - (Value),Lat/Lng - Lng - (Value),Adminstrative geography - Name - (Value),Adminstrative geography - Code Type - (Value),Adminstrative geography - Code - (Value),Sources,Notes
INDIGO-POJ-0001,serviceprovision1,"Buenos Aires, Argentina",,AR,-34.580612,-58.493234,,,,,
INDIGO-POJ-0002,,"Adelaide, South Australia",,AU,-34.948448,138.624324,,,,,
INDIGO-POJ-0003,deliverylocation1,"New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0004,,Inner city Melbourne,,AU,-37.840935,144.946457,,,,,
INDIGO-POJ-0005,deliverylocation1,"New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0006,,"Sydney, New South Wales",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0007,,"Western NSW and Nepean Blue Mountains, New South Wales, Australia",,AU,-33.947645,151.166437,,,,,
INDIGO-POJ-0008,,"Townsville, South East Queensland, Australia",,AU,-27.466156,153.100209,,,,,
INDIGO-POJ-0009,,"Brisbane, Australia",,AU,-27.466156,153.100209,,,,,
INDIGO-POJ-0010,,Upper Austria (federal state),,AT,48.207284,13.995691,,,,,
INDIGO-POJ-0011,,Brussels,,BE,50.840974,4.350059,,,,,
INDIGO-POJ-0012,,"Antwerp, Belgium",,BE,51.222394,4.394204,,,,,
INDIGO-POJ-0013,,"Flanders, Belgium (East Flanders and West Flanders)",,BE,51.13038,3.336307,,,,,
INDIGO-POJ-0014,,"6 provinces (Svay Rieng, Kandal, Prey Veng, Kampong Thom, Siem Reap and Oddar Meanchey), Cambodia",,KH,11.504921,104.839053,,,,,
INDIGO-POJ-0015,servicedelivery1,Cameroon,,CM,3.792505,11.490655,,,,,
INDIGO-POJ-0016,,Cameroon (Nationwide),,CM,3.792505,11.490655,,,,,
INDIGO-POJ-0017,,"Sasketchewan, Canada",,CA,50.436002,-104.623263,,,,,
INDIGO-POJ-0018,,"Toronto and Vancouver, Canada",,CA,49.251304,-123.140367,,,,,
INDIGO-POJ-0019,,"British Columbia, Saskatchewan, Ontario, Canada",,CA,49.353696,-84.214174,,,,,
INDIGO-POJ-0020,,"Saskatchewan, Canada",,CA,52.118251,-106.678255,,,,,
INDIGO-POJ-0021,,"Estacion Central, Santiago de Chile, Chile",,CL,-33.458329,-70.621472,,,,,
INDIGO-POJ-0022,serviceprovision1,"Cali, Colombia",,CO,3.467672,-76.522923,,,,,
INDIGO-POJ-0023,deliverylocation1,Bogotá,,CO,4.585953,-74.095267,,,,,
INDIGO-POJ-0023,deliverylocation2,Cali,,CO,3.359889,-76.638565,,,,,
INDIGO-POJ-0023,deliverylocation3,Pereira,,CO,4.81429,-75.69464,,,,,
INDIGO-POJ-0024,,Finland (Nationwide),,FI,60.192059,24.945831,,,,,
INDIGO-POJ-0025,,Helsinki,,FI,60.192059,24.945831,,,,,
INDIGO-POJ-0026,,"Hauts de France, Occitanie, France",,FR,43.607936,1.425773,,,,,
INDIGO-POJ-0027,,"Ile-de-France (Ile-Saint-Denis and Val d'Oise), France",,FR,48.944709,2.182342,,,,,
INDIGO-POJ-0028,,"Ile-de-France, Hauts-de-France, Normandie, Grand Est, Nouvelle Aquitaine, PACA, Occitanie, Centre-Val de Loire, Pays de la Loire, France",,FR,49.485351,0.096833,,,,,
INDIGO-POJ-0029,Appentis d'Auteil,"Loire-Atlantique, France",,FR,47.278,1.8158,,,,,
INDIGO-POJ-0030,,"Quartiers prioritaires de la Politique de la Ville, France ",,FR,48.813878,2.394135,,,,,
INDIGO-POJ-0031,,"Ariège, Allier, Saone-et-Loire, Nièvre, Hautes-Alpes, Alpes de Haute-Provence, France",,FR,48.815241,2.348448,,,,,
INDIGO-POJ-0032,,"Mannheim, Germany",,DE,49.496351,8.478574,,,,,
INDIGO-POJ-0033,,"Augsburg, Germany",,DE,48.363223,10.895543,,,,,
INDIGO-POJ-0034,,Osnabrück,,DE,52.262237,8.047242,,,,,
INDIGO-POJ-0035,,"Rajasthan, India",,IN,26.881736,75.826324,,,,,
INDIGO-POJ-0036,servicedelivery1,Gujarat,,IN,22.309425,72.13623,,,,,
INDIGO-POJ-0036,servicedelivery2,Mumbai,,IN,19.07609,72.877426,,,,,
INDIGO-POJ-0036,servicedelivery3,Uttar Pradesh,,IN,28.207609,79.82666,,,,,
INDIGO-POJ-0036,servicedelivery4,NCR Delhi,,IN,28.6448,77.216721,,,,,
INDIGO-POJ-0037,servicedelivery1,"Rajasthan, India",,IN,26.881736,75.826324,,,,,
INDIGO-POJ-0038,,Israel,,IL,32.073019,34.837374,,,,,
INDIGO-POJ-0039,,"Haifa and Tel Aviv, Israel",,IL,32.085567,34.790847,,,,,
INDIGO-POJ-0040,,"Hachioji City, Japan",,JP,35.660269,139.282029,,,,,
INDIGO-POJ-0041,,"Hiroshima Prefecture and 6 cities (Takehara City, Onomichi City, Fukuyama City, Fuchu City, Miyoshi City, Kashihara City)",,JP,34.405387,132.469555,,,,,
INDIGO-POJ-0042,,"Kobe City, Japan",,JP,34.691848,135.194444,,,,,
INDIGO-POJ-0043,,Kenya,,KE,1.1874,35.177136,,,,,
INDIGO-POJ-0043,,Uganda,,UG,1.373333,32.290275,,,,,
INDIGO-POJ-0044,,"Eindhoven, the Netherlands",,NL,51.430376,5.481915,,,,,
INDIGO-POJ-0045,,"Rotterdam, the Netherlands",,NL,51.916892,4.454617,,,,,
INDIGO-POJ-0046,,"Utrecht, the Netherlands",,NL,52.096096,5.102927,,,,,
