Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Other Role Description - (Value),Sources,Notes
INDIGO-POJ-0001,INDIGO-ORG-0063,,,,
INDIGO-POJ-0001,INDIGO-ORG-0500,Performance management,,,
INDIGO-POJ-0001,INDIGO-ORG-0502,,,,
INDIGO-POJ-0001,INDIGO-ORG-0503,,,,
INDIGO-POJ-0001,INDIGO-ORG-1300,Legal counsel,,,
INDIGO-POJ-0001,INDIGO-ORG-1301,Other,Outcome verification/ Independent evaluator,,
INDIGO-POJ-0002,INDIGO-ORG-0013,Performance management,,,
INDIGO-POJ-0003,INDIGO-ORG-0568,,,,
INDIGO-POJ-0003,INDIGO-ORG-0569,,,,
INDIGO-POJ-0003,INDIGO-ORG-0570,,,,
INDIGO-POJ-0004,INDIGO-ORG-0917,,,,
INDIGO-POJ-0004,INDIGO-ORG-0245,Legal counsel,,,
INDIGO-POJ-0004,INDIGO-ORG-0919,,,,
INDIGO-POJ-0005,INDIGO-ORG-0013,Performance management,,,
INDIGO-POJ-0005,INDIGO-ORG-0699,Other,Evaluator,,
INDIGO-POJ-0006,INDIGO-ORG-0963,Performance management,,,
INDIGO-POJ-0007,INDIGO-ORG-0013,,,,
INDIGO-POJ-0008,INDIGO-ORG-0935,,,,
INDIGO-POJ-0008,INDIGO-ORG-0568,,,,
INDIGO-POJ-0009,INDIGO-ORG-0613,,,,
INDIGO-POJ-0010,INDIGO-ORG-0199,Performance management,,,
INDIGO-POJ-0010,INDIGO-ORG-0200,Performance management,,,
INDIGO-POJ-0010,INDIGO-ORG-0203,Performance management,,,
INDIGO-POJ-0010,INDIGO-ORG-0204,,,,
INDIGO-POJ-0011,INDIGO-ORG-0040,Performance management,,,
INDIGO-POJ-0011,INDIGO-ORG-0041,,,,
INDIGO-POJ-0011,INDIGO-ORG-0042,,,,
INDIGO-POJ-0013,INDIGO-ORG-0018,,,,
INDIGO-POJ-0013,INDIGO-ORG-0707,,,,
INDIGO-POJ-0013,INDIGO-ORG-0708,,,,
INDIGO-POJ-0014,INDIGO-ORG-0063,,,,
INDIGO-POJ-0015,INDIGO-ORG-0063,Impact bond design,,,As performance management advisor to KF Cameroon. Also co-designed the impact bond.
INDIGO-POJ-0015,INDIGO-ORG-0760,Impact bond design,,,
INDIGO-POJ-0015,INDIGO-ORG-0463,Legal counsel,,,
INDIGO-POJ-0015,INDIGO-ORG-1247,Other,Evaluator,,
INDIGO-POJ-0015,INDIGO-ORG-1248,Legal counsel,,,
INDIGO-POJ-0016,INDIGO-ORG-0435,Performance management,,,
INDIGO-POJ-0016,INDIGO-ORG-0436,Performance management,,,
INDIGO-POJ-0016,INDIGO-ORG-0437,,,,
INDIGO-POJ-0016,INDIGO-ORG-1405,Performance management,,,
INDIGO-POJ-0018,INDIGO-ORG-0760,,,,
INDIGO-POJ-0019,INDIGO-ORG-0672,,,,
INDIGO-POJ-0020,INDIGO-ORG-0589,,,,
INDIGO-POJ-0020,INDIGO-ORG-0590,,,,
INDIGO-POJ-0021,INDIGO-ORG-1019,Performance management,,,
INDIGO-POJ-0021,INDIGO-ORG-0063,,,,
INDIGO-POJ-0021,INDIGO-ORG-1020,,,,
INDIGO-POJ-0022,INDIGO-ORG-0278,Performance management,,,
INDIGO-POJ-0022,INDIGO-ORG-0279,,,,
INDIGO-POJ-0022,INDIGO-ORG-0280,,,,
INDIGO-POJ-0022,INDIGO-ORG-1048,,,,
INDIGO-POJ-0022,INDIGO-ORG-1049,,,,
INDIGO-POJ-0023,INDIGO-ORG-0278,Performance management,,,
INDIGO-POJ-0023,INDIGO-ORG-0279,,,,
INDIGO-POJ-0023,INDIGO-ORG-1048,,,,
INDIGO-POJ-0023,INDIGO-ORG-1049,,,,
INDIGO-POJ-0023,INDIGO-ORG-0280,,,,
INDIGO-POJ-0023,INDIGO-ORG-1051,,,,
INDIGO-POJ-0023,INDIGO-ORG-0283,,,,
INDIGO-POJ-0024,INDIGO-ORG-0385,Performance management,,,
INDIGO-POJ-0024,INDIGO-ORG-0387,,,,
INDIGO-POJ-0025,INDIGO-ORG-0385,,,,
INDIGO-POJ-0026,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0026,INDIGO-ORG-0018,,,,
INDIGO-POJ-0026,INDIGO-ORG-0336,,,,
INDIGO-POJ-0027,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0027,INDIGO-ORG-0018,,,,
INDIGO-POJ-0028,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0028,INDIGO-ORG-0018,,,,
INDIGO-POJ-0029,INDIGO-ORG-0017,Performance management,,,
INDIGO-POJ-0029,INDIGO-ORG-0042,Other,Evaluator (lead),,
INDIGO-POJ-0029,INDIGO-ORG-0018,Other,Evaluator  ,,
INDIGO-POJ-0031,INDIGO-ORG-0239,Performance management,,,
INDIGO-POJ-0031,INDIGO-ORG-0018,,,,
INDIGO-POJ-0032,INDIGO-ORG-1007,Performance management,,,
INDIGO-POJ-0032,INDIGO-ORG-1008,,,,
INDIGO-POJ-0033,INDIGO-ORG-0736,Performance management,,,
INDIGO-POJ-0033,INDIGO-ORG-0737,Performance management,,,
INDIGO-POJ-0033,INDIGO-ORG-0739,Performance management,,,
INDIGO-POJ-0033,INDIGO-ORG-0204,,,,
INDIGO-POJ-0034,INDIGO-ORG-0313,Performance management,,,
INDIGO-POJ-0034,INDIGO-ORG-1008,,,,
INDIGO-POJ-0035,INDIGO-ORG-0279,Performance management,,,
INDIGO-POJ-0035,INDIGO-ORG-0982,,,,
INDIGO-POJ-0036,INDIGO-ORG-0181,Performance management,,,
INDIGO-POJ-0036,INDIGO-ORG-0183,Other,Outcome evaluator,,
INDIGO-POJ-0036,INDIGO-ORG-0190,Other,Convenor and intermediary,,
INDIGO-POJ-0037,INDIGO-ORG-0598,Other,Independent verification,,
INDIGO-POJ-0037,INDIGO-ORG-0599,Performance management,,,
INDIGO-POJ-0037,INDIGO-ORG-0063,Impact bond design,,,
INDIGO-POJ-0037,INDIGO-ORG-0279,,,,
INDIGO-POJ-0037,INDIGO-ORG-0600,Legal counsel,,,
INDIGO-POJ-0037,INDIGO-ORG-0601,Legal counsel,,,
INDIGO-POJ-0037,INDIGO-ORG-1246,Other,Evaluation,,
INDIGO-POJ-0038,INDIGO-ORG-0219,Performance management,,,
INDIGO-POJ-0038,INDIGO-ORG-0534,Other,Transaction coordinator,,
INDIGO-POJ-0039,INDIGO-ORG-0219,Performance management,,,
INDIGO-POJ-0040,INDIGO-ORG-0776,,,,
INDIGO-POJ-0041,INDIGO-ORG-0776,,,,
INDIGO-POJ-0042,INDIGO-ORG-0778,Performance management,,,
INDIGO-POJ-0042,INDIGO-ORG-0802,Performance management,,,
INDIGO-POJ-0043,INDIGO-ORG-0979,Performance management,,,
INDIGO-POJ-0043,INDIGO-ORG-0279,,,,
INDIGO-POJ-0043,INDIGO-ORG-0982,,,,
INDIGO-POJ-0045,INDIGO-ORG-0174,,,,
INDIGO-POJ-0045,INDIGO-ORG-0175,,,,
INDIGO-POJ-0046,INDIGO-ORG-0867,,,,
INDIGO-POJ-0046,INDIGO-ORG-0868,,,,
INDIGO-POJ-0047,INDIGO-ORG-0445,,,,
INDIGO-POJ-0048,INDIGO-ORG-0684,,,,
INDIGO-POJ-0048,INDIGO-ORG-1042,,,,
INDIGO-POJ-0049,INDIGO-ORG-0540,,,,
INDIGO-POJ-0050,INDIGO-ORG-0722,,,,
INDIGO-POJ-0051,INDIGO-ORG-0684,,,,
INDIGO-POJ-0051,INDIGO-ORG-1013,Other,Financial knowledge partner,,
INDIGO-POJ-0051,INDIGO-ORG-1242,Other,Financial knowledge partner,,
INDIGO-POJ-0052,INDIGO-ORG-0684,,,,
INDIGO-POJ-0053,INDIGO-ORG-0893,,,,
INDIGO-POJ-0055,INDIGO-ORG-0580,Performance management,,,
INDIGO-POJ-0055,INDIGO-ORG-0581,,,,
INDIGO-POJ-0056,INDIGO-ORG-0150,,,,The Social Bonds Pilot team (within government) has helped APMW explore and broker potential investment.
INDIGO-POJ-0057,INDIGO-ORG-0244,Performance management,,,
INDIGO-POJ-0057,INDIGO-ORG-0245,Performance management,,,
INDIGO-POJ-0057,INDIGO-ORG-0246,,,,
INDIGO-POJ-0057,INDIGO-ORG-0042,,,,design & structuring intermediary
INDIGO-POJ-0058,INDIGO-ORG-0392,Performance management,,,
INDIGO-POJ-0058,INDIGO-ORG-0063,,,,
INDIGO-POJ-0058,INDIGO-ORG-0121,Other,,,Representatives of EBRC
INDIGO-POJ-0059,INDIGO-ORG-0719,,,,
INDIGO-POJ-0060,INDIGO-ORG-0355,,,,
INDIGO-POJ-0060,INDIGO-ORG-1302,Other,The Portugal Social Innovation programme required all SIB projects to have the validation of a public entity to be eligible for funding. The Institute for Social Security validated this project.,,
