Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Investment Commitment - Currency - (Value),Investment Commitment - Amount - Min - (Value),Investment Commitment - Amount - Exact - (Value),Investment Commitment - Amount - Max - (Value),Investment Commitment - Amount USD - Min - (Value),Investment Commitment - Amount USD - Exact - (Value),Investment Commitment - Amount USD - Max - (Value),Maximum Potential loss - (Value),Maximum Potential Return Type - (Value),Maximum Potential Return - (Value),Investor Repayment - (Value),Investment Type - (Value),Sources,Notes
INDIGO-POJ-0001,investment1,INDIGO-ORG-0505,,,,,,,,,,,,,,,
INDIGO-POJ-0001,investment2,INDIGO-ORG-0506,,,,,,,,,,,,,,,
INDIGO-POJ-0001,investment3,INDIGO-ORG-0507,,,,,,,,,,,,,,,
INDIGO-POJ-0001,investment4,INDIGO-ORG-0508,,,,,,,,,,,,,,,
INDIGO-POJ-0001,investment5,INDIGO-ORG-0509,,,,,,,,,,,,,,,
INDIGO-POJ-0001,investment6,INDIGO-ORG-0510,,,,,,,,,,,,,,,
INDIGO-POJ-0002,investment1,INDIGO-ORG-0696,,AUD,,9000000,,,6897830.457,,,,,,,,
INDIGO-POJ-0003,investment1,INDIGO-ORG-0567,,,,,,,,,,,,,0% maximum potential loss,,"Senior Investors include Benevolent Society, Westpac Foundation, and the Commonwealth Bank of Australia. The Westpac Institutional Bank and Commonwealth Bank of Australia raised funds from their investors, including high net worth individuals, self-managed super funds, trusts, small foundations, and institutions."
INDIGO-POJ-0003,investment2,INDIGO-ORG-0568,,,,,,,,,,,,,,,"Subordinate Investors include the Benevolent Society, Westpac Foundation, the Commonwealth Bank of Australia."
INDIGO-POJ-0003,investment3,INDIGO-ORG-0569,,,,,,,,,,,,,,,
INDIGO-POJ-0005,investment1,INDIGO-ORG-0701,,AUD,,7000000,,,6757780.231,,,,,,Loan,,
INDIGO-POJ-0006,investment1,INDIGO-ORG-0613,,,,,,,,,,,,,,,
INDIGO-POJ-0006,investment2,INDIGO-ORG-0966,,,,,,,,,,,,,,,
