Project ID,Id,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Unit description of Service user or beneficiaries - (Value),Outcome metric target - (Value),Other target for Meeting outcome metric target - (Value),Outcome validation Method - (Value),Data source for Outcome validation - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value),Sources,Notes
INDIGO-POJ-0001,outcomemetric1,"Educational completion (vulnerable person)
Participants still enrolled in high school during the intervention finish their final year",Vulnerable youth,,,,Compliance of all requirements to receive a high-school degree from a recognized institution. The participant has to show the degree or a certificate of pending title. ,,Pre-post analysis,New data collected,Education,4,,4.1,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric2,"Job placement (vulnerable person)
Participant finds a job",Vulnerable youth,280,Individual,,"Access to a formal and registered job, full-time or part-time, with a contract with or without time limit. ",,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric3,"4-month job retention (vulnerable person)
Participant maintains the job for 4 months",Vulnerable youth,210,Individual,,Four consecutive months of formal employment with the same employer (this metric does not count the legal probationary period of 3 months),,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric4,"12-month job retention (vulnerable person)
Participant maintains the job for 12 months",Vulnerable youth,,,,"Twelve months of formal employment (with or without the same employer, these months do not have to be consecutive). These months have to be in a period of 14 months.",,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,This metric is considered as 'extraordinary results'. The Government will not pay for these results untill all previous outcomes ('ordinary outcomes) have been achieved.
INDIGO-POJ-0001,outcomemetric5,"Expansion of the labor market
Number of companies that employs the participants of the program increases",Vulnerable and extremely vulnerable youth,,,,A 50% increase of the amount of vulnerable young people that are employed by companies that work with the SIB service providers and/or the inclusion of new companies to the service provider's portfolio of companies hiring vulnerable young people. ,,,,,8,,8.5,8.6,,
INDIGO-POJ-0001,outcomemetric6,"Educational completion (very vulnerable person)
Participants still enrolled in high school during the intervention finish their final year",Extremely vulnerable youth,,,,Compliance of all requirements to receive a high-school degree from a recognized institution. The participant has to show the degree or a certificate of pending title. ,,Pre-post analysis,New data collected,Education,8,,4.1,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric7,"Job placement (very vulnerable person)
Participant finds a job",Extremely vulnerable youth,80,Individual,,"Access to a formal and registered job, full-time or part-time, with a contract with or without time limit. ",,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric8,"4-month job retention (very vulnerable person)
Participant maintains the job for 4 months",Extremely vulnerable youth,60,Individual,,Four consecutive months of formal employment with the same employer (this metric does not count the legal probationary period of 3 months),,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,Every 'ordinary outcome' achieved by a young mother or young person living in a 'villa' (slum) will receive an additional pay of 40% of the original price. 
INDIGO-POJ-0001,outcomemetric9,"12-month job retention (very vulnerable person)
Participant maintains the job for 12 months",Extremely vulnerable youth,,,,"Twelve months of formal employment (with or without the same employer, these months do not have to be consecutive). These months have to be in a period of 14 months.",,Pre-post analysis,New data collected,Employment and training,8,,8.6,,,This metric is considered as 'extraordinary results'. The Government will not pay for these results untill all previous outcomes ('ordinary outcomes) have been achieved.
INDIGO-POJ-0002,outcomemetric1,Hospital bed days. The number of days spent as an admitted hospital patient.,,400,,,,,,,,,,,,,
INDIGO-POJ-0002,outcomemetric2,Convictions. The number of convictions in the year prior.,,,,,,,,,,,,,,,
INDIGO-POJ-0002,outcomemetric3,Crisis accommodation perdiods. The number of periods of short term or emergency accommodation recorded. The outcomes for each member of the Intervention Group will be measured for three years from their date of referral to the Aspire Program.,,,,,,,,,,,,,,,
INDIGO-POJ-0003,outcomemetric1,"Out-of-home care entries. Entries into out-of-home care (OOHC), defined as ‘statutory’ removals of children to OOHC i.e. excluding supported care, voluntary care, temporary care or respite. Compared to control group.",Children,303,Individual,,,,,,Child and family welfare,16,,16.2,,,
INDIGO-POJ-0003,outcomemetric2,"Safety and risk assessments. Safety and Risk Assessments (SARAs) commenced by Family and Community Services (FACS), excluding those made in the first six months (180 days) of each child’s referral to the service. Compared to control group.",Children,303,Individual,,,,,,Child and family welfare,16,,16.2,,,
INDIGO-POJ-0003,outcomemetric3,"Helpline reports. Helpline reports, in which calls are made by NSW Police or health care professionals to the child protection Helpline to report a concern about the safety of children. Compared to control group.",Children,303,Individual,,,,,,Child and family welfare,16,,16.2,,,
INDIGO-POJ-0004,outcomemetric1,Stable Housing. The percentage of the cohort in stable housing as evidenced by case notes that demonstrate the achievement of a sustained tenancy.,,,,,,,,,,,,,,,
INDIGO-POJ-0004,outcomemetric2,Improved health and wellbeing. Reductions in hospital bed days across the cohort.,,,,,,,,,,,,,,,
INDIGO-POJ-0005,outcomemetric1,"Performance payments are linked to the achievement of restorations from care, compared to the control group.  The proportion of children in out-of-home care attending a Newpin Centre who are restored to the care of their families. Restoration Rate = A / (A + B) Where: A is the number of children and young people whose family attended a Newpin Mothers’ Centre who were Restored to the care of their parent(s) during the period; B is the number of children and young people whose family attended a Newpin Mothers’ Centre and who were Unrestored Exits during the period.",,,,,,,,,Child and family welfare,16,3,16.2,3.5,,
INDIGO-POJ-0006,outcomemetric1,Reduced rate of re-incarceration in the 12 months post release.,,3900,,,,,,,Criminal justice,16,,16.1,,,
INDIGO-POJ-0007,outcomemetric1,Reduction in the consumption of health services. The percentage reduction in National Weighted Activity Units (NWAUs) incurred by the individuals in the Intervention Group over their two-year measurement periods relative to the NWAUs incurred by the Control Group. NWAUs are an activity measure for determining total health related service consumption.,,530,,,,,,,,3,,3.4,3.5,,
INDIGO-POJ-0008,outcomemetric1,Housing stability. Maintaining continuous stable accommodation for 6 months ,,,,,,,,,,11,,11.1,,,
INDIGO-POJ-0008,outcomemetric2,Employment stability. 12 months continuous employment.,,,,,,,,,,8,,8.6,,,
INDIGO-POJ-0008,outcomemetric3,Education stability. 12 months continuous education.,,,,,,,,,,4,,4.1,,,
INDIGO-POJ-0008,outcomemetric4,Personal development. 12 months continuous personal development.,,,,,,,,,,3,,3.4,,,
INDIGO-POJ-0009,outcomemetric1,"Reduced offending. Reduced incidences of young people being held on remand or in detention, and related costs (e.g., police and court expenses)",,,,,,,,,,16,,16.1,,,
INDIGO-POJ-0009,outcomemetric2,Reduced substance abuse.,,,,,,,,,,3,,3.5,,,
INDIGO-POJ-0009,outcomemetric3,Improved school attendance and participation,,,,,,,,,,4,,4.4,4.6,,
INDIGO-POJ-0009,outcomemetric4,Enhanced parental skills,,,,,,,,,,8,,8.3,8.5,,
