Project ID,Organisation ID - (Value),Organisation Role Category - (Value),Maximum potential Outcome payment - Currency - (Value),Maximum potential Outcome payment - Amount - (Value),Maximum potential Outcome payment - Amount USD - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Total outcome payments made - Currency - (Value),Total outcome payments made - Amount - (Value),Total outcome payments made - Amount USD - (Value),Alterations to payment commitment - Description - (Value),Alterations to payment commitment - Reason - (Value),Sources,Notes
INDIGO-POJ-0001,INDIGO-ORG-0504,Government/Public Sector/Public Bank,ARS,48400000,1245496.65,,,,,,,,,,
INDIGO-POJ-0002,INDIGO-ORG-1344,Government/Public Sector/Public Bank,AUD,11000000,8430681.669666667,,,,,,,,,,
INDIGO-POJ-0003,INDIGO-ORG-0571,,,,,,,,,,,,,,
INDIGO-POJ-0003,INDIGO-ORG-0572,,,,,,,,,,,,,,
INDIGO-POJ-0004,INDIGO-ORG-0920,,,1200000,,,,,,,,,,,
INDIGO-POJ-0004,INDIGO-ORG-0916,,,=D41-D36,,,,,,,,,,,
INDIGO-POJ-0005,INDIGO-ORG-0571,,AUD,47000000,,,,,,,,,,,
INDIGO-POJ-0006,INDIGO-ORG-0964,,,,,,,,,,,,,,
INDIGO-POJ-0007,INDIGO-ORG-0216,Government/Public Sector/Public Bank,AUD,23900000,18317571.9902286,,,,,,,,,,
INDIGO-POJ-0008,INDIGO-ORG-0614,,,,,,,,,,,,,,
INDIGO-POJ-0009,INDIGO-ORG-0614,,,,,,,,,,,,,,
INDIGO-POJ-0010,INDIGO-ORG-0205,,,804688,,,,,,,,,,,
INDIGO-POJ-0011,INDIGO-ORG-0043,,,290000,,,,,,,,,,,
INDIGO-POJ-0012,INDIGO-ORG-0140,,,,,,,,,,,,,,
INDIGO-POJ-0012,INDIGO-ORG-0141,,,,,,,,,,,,,,
INDIGO-POJ-0013,INDIGO-ORG-0709,,,,,,,,,,,,,,
INDIGO-POJ-0014,INDIGO-ORG-0073,Government/Public Sector/Public Bank,,"$10,000,000",,,,,,,,,,,
INDIGO-POJ-0015,INDIGO-ORG-0465,,USD,2000000,2000000,,,,,,,,,,
INDIGO-POJ-0015,INDIGO-ORG-0466,,USD,800000,800000,,,,,,,,,,
INDIGO-POJ-0016,INDIGO-ORG-0438,,,2240000,,,,,,,,,,,
INDIGO-POJ-0016,INDIGO-ORG-0439,,,280000,,,,,,,,,,,
INDIGO-POJ-0016,INDIGO-ORG-0440,,,280000,,,,,,,,,,,
INDIGO-POJ-0017,INDIGO-ORG-0550,,,C$1.16M (estimate),,,,,,,,,,,
INDIGO-POJ-0018,INDIGO-ORG-0761,,,"C$4,000,000",,,,,,,,,,,
INDIGO-POJ-0019,INDIGO-ORG-0673,,,"C$300,000",,,,,,C$,,,,,
INDIGO-POJ-0020,INDIGO-ORG-0591,,,C$1.3M,,,,,,C$,,,,,
INDIGO-POJ-0021,INDIGO-ORG-1021,,,,,,,,,,,,,,
INDIGO-POJ-0021,INDIGO-ORG-1022,,,,,,,,,,,,,,
INDIGO-POJ-0021,INDIGO-ORG-1023,,,,,,,,,,,,,,
INDIGO-POJ-0021,INDIGO-ORG-1024,,,,,,,,,,,,,,
INDIGO-POJ-0022,INDIGO-ORG-0282,,,,,,,,,,,,,,
INDIGO-POJ-0023,INDIGO-ORG-1052,,,,,,,,,,,,,,
INDIGO-POJ-0023,INDIGO-ORG-0510,,,,,,,,,,,,,,
INDIGO-POJ-0023,INDIGO-ORG-0282,,,,,,,,,,,,,,
INDIGO-POJ-0024,INDIGO-ORG-0546,,,,,,,,,,,,,,
INDIGO-POJ-0025,INDIGO-ORG-0386,,,,,,,,,,,,,,
INDIGO-POJ-0026,INDIGO-ORG-0337,,,800000,,,,,,,,,,,
INDIGO-POJ-0026,INDIGO-ORG-0021,,,,,,,,,,,,,,
INDIGO-POJ-0026,INDIGO-ORG-0020,,,,,,,,,,,,,,
INDIGO-POJ-0026,INDIGO-ORG-0339,,,200000,,,,,,,,,,,
INDIGO-POJ-0027,INDIGO-ORG-0019,,,,,,,,,,,,,,
INDIGO-POJ-0027,INDIGO-ORG-0020,,,,,,,,,,,,,,
INDIGO-POJ-0027,INDIGO-ORG-0021,,,,,,,,,,,,,,
INDIGO-POJ-0028,INDIGO-ORG-0019,,,,,,,,,,,,,,
INDIGO-POJ-0028,INDIGO-ORG-0020,,,,,,,,,,,,,,
INDIGO-POJ-0028,INDIGO-ORG-0021,,,,,,,,,,,,,,
INDIGO-POJ-0029,INDIGO-ORG-1122,Government/Public Sector/Public Bank,EUR,2500000,,,,,,,,,,,
INDIGO-POJ-0030,INDIGO-ORG-0021,,,1000000,,,,,,,,,,,
INDIGO-POJ-0031,INDIGO-ORG-0021,,,1500000,,,,,,,,,,,
INDIGO-POJ-0032,INDIGO-ORG-1009,,,,,,,,,,,,,,
INDIGO-POJ-0033,INDIGO-ORG-0740,,,,,,,,,250000,,,,,
INDIGO-POJ-0034,INDIGO-ORG-0315,,,,,,,,,,,,,,
INDIGO-POJ-0035,INDIGO-ORG-0533,,USD,422000,422000,,2015-06,2018-06,USD,422000,422000,,,,
INDIGO-POJ-0036,INDIGO-ORG-0185,Nonprofit/NGO,,3746939,,,,,,,,,,,Michael and Susan Dell Foundation were anchor funders. 
INDIGO-POJ-0036,INDIGO-ORG-0186,,,,,,,,,,,,,,
INDIGO-POJ-0036,INDIGO-ORG-0187,,,,,,,,,,,,,,
INDIGO-POJ-0036,INDIGO-ORG-0188,,,,,,,,,,,,,,
INDIGO-POJ-0036,INDIGO-ORG-1463,,,,,,,,,,,,,,
INDIGO-POJ-0037,INDIGO-ORG-0602,,USD,3500000,3500000,,,,,,,,,,
INDIGO-POJ-0037,INDIGO-ORG-0073,,USD,4500000,4500000,,,,,,,,,,
INDIGO-POJ-0038,INDIGO-ORG-0221,,,,,,,,,,,,,,
INDIGO-POJ-0038,INDIGO-ORG-0222,,,,,,,,,,,,,,
INDIGO-POJ-0039,INDIGO-ORG-0971,,,,,,,,,,,,,,
INDIGO-POJ-0039,INDIGO-ORG-0972,,,,,,,,,,,,,,
INDIGO-POJ-0040,INDIGO-ORG-0777,,,¥9.76 million,,,,,,£,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0343,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0344,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0345,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0346,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0347,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0348,,,,,,,,,,,,,,
INDIGO-POJ-0041,INDIGO-ORG-0349,,,,,,,,,,,,,,
INDIGO-POJ-0042,INDIGO-ORG-0803,,,¥34.06 million,,,,,,,,,,,
INDIGO-POJ-0043,INDIGO-ORG-0983,,,1608444,,,,,,$,,,,,
INDIGO-POJ-0043,INDIGO-ORG-0073,,,1004454,,,,,,$,,,,,
INDIGO-POJ-0043,INDIGO-ORG-0985,,,1667720,,,,,,$,,,,,
INDIGO-POJ-0044,INDIGO-ORG-0543,,,,,,,,,,,,,,
INDIGO-POJ-0045,INDIGO-ORG-0176,,,€,,,,,,,,,,,
INDIGO-POJ-0046,INDIGO-ORG-0869,,,,,,,,,,,,,,
INDIGO-POJ-0047,INDIGO-ORG-0447,,,,,,,,,,,,,,
INDIGO-POJ-0048,INDIGO-ORG-0869,,,,,,,,,,,,,,
INDIGO-POJ-0049,INDIGO-ORG-0541,,,,,,,,,,,,,,
INDIGO-POJ-0050,INDIGO-ORG-0725,,,,,,,,,,,,,,
INDIGO-POJ-0051,INDIGO-ORG-1014,,EUR,1300000,,,,,,,,,,,
INDIGO-POJ-0052,INDIGO-ORG-0685,,,,,,,,,,,,,,
INDIGO-POJ-0053,INDIGO-ORG-0894,,,,,,,,,,,,,,
INDIGO-POJ-0054,INDIGO-ORG-0176,,,,,,,,,,,,,,
INDIGO-POJ-0055,INDIGO-ORG-0580,,,,,,,,,,,,,,
INDIGO-POJ-0056,INDIGO-ORG-0151,,,,,,,,,,,,,,
INDIGO-POJ-0057,INDIGO-ORG-0248,,,,,,,,,,,,,,
INDIGO-POJ-0057,INDIGO-ORG-0249,,,10000000,,,,,,,,,,,
INDIGO-POJ-0057,INDIGO-ORG-0250,,,,,,,,,,,,,,
INDIGO-POJ-0057,INDIGO-ORG-0251,,,,,,,,,,,,,,
INDIGO-POJ-0057,INDIGO-ORG-0985,,,,,,,,,,,,,,
INDIGO-POJ-0058,INDIGO-ORG-0394,,,3500000,,,,,,,,,,,
INDIGO-POJ-0058,INDIGO-ORG-0395,,,1500000,,,,,,,,,,,
INDIGO-POJ-0059,INDIGO-ORG-0720,,,=M33,,,,,,=U33,,,,,
INDIGO-POJ-0060,INDIGO-ORG-0157,Government/Public Sector/Public Bank,,,,,,,,,,,,,
INDIGO-POJ-0061,INDIGO-ORG-0157,Government/Public Sector/Public Bank,,,,,,,EUR,646368.52,723932.7424000001,,,,This is the amount reimbursed to the investors for delivered outcomes (source6)
INDIGO-POJ-0062,INDIGO-ORG-0157,Government/Public Sector/Public Bank,EUR,15000000,16903362.17409913,,,,,,,,,,
INDIGO-POJ-0063,INDIGO-ORG-1017,,,125000,,,,,,31000,,,,,
INDIGO-POJ-0064,INDIGO-ORG-0157,Government/Public Sector/Public Bank,EUR,,,,,,,,,,,,
