Project ID,Outcome Metric ID,Outcome Pricing,Outcome Definition - (Value),Target Population - (Value),Targeted number of service users Or beneficiaries (total) - (Value),Unit type of targeted Service users or beneficiaries - (Value),Outcome metric target - (Value),Policy sector - (Value),Primary SDG goal - (Value),Secondary SDG goals - (Value),Primary SDG target - (Value),Secondary SDG targets - (Value)
INDIGO-POJ-0001,metric-0001,405.89,Improved outcomes for individuals in education sector,Youth,438,Individual,284,Education,SDG 4,SDG 3,Target 10.4,Target 1.1
INDIGO-POJ-0002,metric-0002,752.29,Improved outcomes for individuals in education sector,Refugees,420,Individual,273,Education,SDG 15,SDG 9,Target 1.2,Target 7.3
INDIGO-POJ-0003,metric-0003,158.82,Improved outcomes for individuals in criminal justice sector,Youth,500,Individual,300,Criminal justice,SDG 9,SDG 2,Target 8.5,Target 2.4
INDIGO-POJ-0004,metric-0004,383.76,Improved outcomes for households in employment and training sector,Refugees,579,Household,347,Employment and training,SDG 3,SDG 8,Target 2.4,Target 5.4
INDIGO-POJ-0005,metric-0005,585.54,Improved outcomes for households in criminal justice sector,Women,532,Household,319,Criminal justice,SDG 8,SDG 6,Target 8.4,Target 5.5
INDIGO-POJ-0006,metric-0006,811.65,Improved outcomes for familys in health sector,Women,342,Family,188,Health,SDG 7,SDG 11,Target 4.4,Target 7.4
INDIGO-POJ-0007,metric-0007,386.88,Improved outcomes for households in education sector,Women,363,Household,235,Education,SDG 5,SDG 17,Target 8.1,Target 1.1
INDIGO-POJ-0008,metric-0008,663.3,Improved outcomes for households in criminal justice sector,Youth,645,Household,387,Criminal justice,SDG 9,SDG 1,Target 2.5,Target 5.3
INDIGO-POJ-0009,metric-0009,897.38,Improved outcomes for individuals in employment and training sector,Youth,531,Individual,318,Employment and training,SDG 17,SDG 7,Target 3.3,Target 3.5
INDIGO-POJ-0010,metric-0010,654.28,Improved outcomes for familys in education sector,Women,686,Family,445,Education,SDG 3,SDG 3,Target 8.1,Target 9.2
INDIGO-POJ-0011,metric-0011,309.66,Improved outcomes for individuals in employment and training sector,Women,265,Individual,159,Employment and training,SDG 13,SDG 12,Target 8.5,Target 8.1
INDIGO-POJ-0012,metric-0012,121.96,Improved outcomes for individuals in health sector,Women,885,Individual,486,Health,SDG 2,SDG 8,Target 2.1,Target 6.1
INDIGO-POJ-0013,metric-0013,883.09,Improved outcomes for individuals in housing sector,Disabled persons,678,Individual,406,Housing,SDG 14,SDG 7,Target 2.1,Target 7.3
INDIGO-POJ-0014,metric-0014,119.14,Improved outcomes for familys in employment and training sector,Women,387,Family,232,Employment and training,SDG 4,SDG 8,Target 4.2,Target 9.4
INDIGO-POJ-0015,metric-0015,887.23,Improved outcomes for individuals in health sector,Disabled persons,610,Individual,335,Health,SDG 1,SDG 3,Target 4.2,Target 7.4
INDIGO-POJ-0016,metric-0016,576.04,Improved outcomes for households in housing sector,Youth,521,Household,312,Housing,SDG 16,SDG 5,Target 4.3,Target 4.1
INDIGO-POJ-0017,metric-0017,945.16,Improved outcomes for households in criminal justice sector,Disabled persons,783,Household,469,Criminal justice,SDG 3,SDG 6,Target 2.5,Target 2.2
INDIGO-POJ-0018,metric-0018,818.9,Improved outcomes for familys in employment and training sector,Refugees,523,Family,313,Employment and training,SDG 7,SDG 11,Target 4.3,Target 7.2
INDIGO-POJ-0019,metric-0019,998.14,Improved outcomes for households in criminal justice sector,Women,491,Household,294,Criminal justice,SDG 7,SDG 17,Target 5.2,Target 6.1
INDIGO-POJ-0020,metric-0020,415.64,Improved outcomes for individuals in criminal justice sector,Women,488,Individual,292,Criminal justice,SDG 10,SDG 4,Target 3.3,Target 2.1
INDIGO-POJ-0021,metric-0021,790.47,Improved outcomes for individuals in employment and training sector,Refugees,852,Individual,511,Employment and training,SDG 2,SDG 3,Target 7.3,Target 1.1
INDIGO-POJ-0022,metric-0022,461.74,Improved outcomes for familys in health sector,Women,330,Family,181,Health,SDG 3,SDG 5,Target 9.1,Target 6.5
INDIGO-POJ-0023,metric-0023,531.89,Improved outcomes for households in health sector,Women,225,Household,123,Health,SDG 12,SDG 14,Target 10.2,Target 4.2
