Project ID,Outcome Metric Id - (Value),Period - Start - (Value),Period - End - (Value),Type - (Value),Payments - Currency - (Value),Payments - Amount - (Value),Payments - Amount USD - (Value)
INDIGO-POJ-0001,metric-0001,2023-05,2024-04,Actual,GBP,83613.34,91974.67
INDIGO-POJ-0002,metric-0002,2012-01,2012-07,Actual,CAD,136164.49,149780.94
INDIGO-POJ-0003,metric-0003,2019-09,2020-05,Actual,EUR,33352.2,36687.42
INDIGO-POJ-0004,metric-0004,2018-11,2019-04,Actual,USD,94788.72,104267.59
INDIGO-POJ-0005,metric-0005,2012-12,2013-09,Actual,USD,128233.26,141056.59
INDIGO-POJ-0006,metric-0006,2011-11,2012-10,Actual,AUD,103079.55,113387.51
INDIGO-POJ-0007,metric-0007,2022-10,2023-02,Actual,AUD,61513.92,67665.31
INDIGO-POJ-0008,metric-0008,2022-04,2023-02,Actual,CAD,173121.3,190433.43
INDIGO-POJ-0009,metric-0009,2015-11,2016-04,Actual,GBP,201013.12,221114.43
INDIGO-POJ-0010,metric-0010,2018-12,2019-11,Projected,GBP,101413.4,111554.74
INDIGO-POJ-0011,metric-0011,2019-09,2020-03,Actual,GBP,32823.96,36106.36
INDIGO-POJ-0012,metric-0012,2013-01,2013-12,Actual,GBP,40002.88,44003.17
INDIGO-POJ-0013,metric-0013,2022-07,2023-01,Actual,AUD,242849.75,267134.73
INDIGO-POJ-0014,metric-0014,2020-12,2021-09,Actual,USD,19300.68,21230.75
INDIGO-POJ-0015,metric-0015,2024-08,2025-02,Actual,CAD,197852.29,217637.52
INDIGO-POJ-0016,metric-0016,2022-08,2023-07,Actual,AUD,119240.28,131164.31
INDIGO-POJ-0017,metric-0017,2015-07,2016-02,Projected,GBP,158786.88,174665.57
INDIGO-POJ-0018,metric-0018,2011-08,2012-03,Actual,CAD,180158.0,198173.8
INDIGO-POJ-0019,metric-0019,2019-08,2020-05,Actual,USD,198629.86,218492.85
INDIGO-POJ-0020,metric-0020,2025-05,2025-09,Actual,CAD,87284.4,96012.84
INDIGO-POJ-0021,metric-0021,2012-07,2013-05,Actual,EUR,282197.79,310417.57
INDIGO-POJ-0022,metric-0022,2019-07,2020-04,Actual,AUD,57255.76,62981.34
INDIGO-POJ-0023,metric-0023,2017-10,2018-04,Actual,GBP,43083.09,47391.4
INDIGO-POJ-0024,metric-0024,2017-03,2017-12,Actual,GBP,149568.75,164525.62
