Project ID,Total investment commitment,Maximum potential outcome payment,Outcome pricing
INDIGO-POJ-0001,249816.05,203880.14,405.89
INDIGO-POJ-0002,162407.46,325905.17,752.29
INDIGO-POJ-0003,123233.44,77460.18,158.82
INDIGO-POJ-0004,108233.8,242217.67,383.76
INDIGO-POJ-0005,432977.06,309846.19,585.54
INDIGO-POJ-0006,221696.9,319046.87,811.65
INDIGO-POJ-0007,272778.01,162946.86,386.88
INDIGO-POJ-0008,216857.86,414432.49,663.3
INDIGO-POJ-0009,282427.99,433971.37,897.38
INDIGO-POJ-0010,336965.83,465416.14,654.28
INDIGO-POJ-0011,343017.94,95595.3,309.66
INDIGO-POJ-0012,373693.21,95442.78,121.96
INDIGO-POJ-0013,148815.29,628184.78,883.09
INDIGO-POJ-0014,224684.43,48533.53,119.14
INDIGO-POJ-0015,318684.11,591675.57,887.23
INDIGO-POJ-0016,135397.0,255887.74,576.04
INDIGO-POJ-0017,118090.92,803949.67,945.16
INDIGO-POJ-0018,431495.0,498357.65,818.9
INDIGO-POJ-0019,212373.8,427293.52,998.14
INDIGO-POJ-0020,129820.26,181538.44,415.64
INDIGO-POJ-0021,408897.91,800470.59,790.47
INDIGO-POJ-0022,408508.14,132929.85,461.74
INDIGO-POJ-0023,243386.29,136639.7,531.89
INDIGO-POJ-0024,232359.21,339300.7,664.75
INDIGO-POJ-0025,224392.93,372057.66,886.31
INDIGO-POJ-0026,454885.1,731179.17,985.68
INDIGO-POJ-0027,147837.7,255464.46,791.45
INDIGO-POJ-0028,408386.87,312184.88,475.99
INDIGO-POJ-0029,309093.13,111702.47,479.22
INDIGO-POJ-0030,225742.39,301043.25,763.82
INDIGO-POJ-0031,463026.59,261889.29,314.9
INDIGO-POJ-0032,191519.27,143628.24,199.43
INDIGO-POJ-0033,215900.58,313654.03,419.16
INDIGO-POJ-0034,421468.83,137305.79,358.52
INDIGO-POJ-0035,457023.6,248608.75,366.68
INDIGO-POJ-0036,191174.07,63193.78,310.25
INDIGO-POJ-0037,427205.91,135371.89,137.88
INDIGO-POJ-0038,266964.4,92220.7,116.09
INDIGO-POJ-0039,147946.15,1013853.96,988.95
INDIGO-POJ-0040,307516.25,307518.72,485.0
INDIGO-POJ-0041,245451.84,166305.03,445.89
INDIGO-POJ-0042,213936.2,405513.06,711.68
INDIGO-POJ-0043,343825.73,247753.45,296.43
INDIGO-POJ-0044,157957.95,920172.38,954.97
INDIGO-POJ-0045,494260.18,185741.89,807.71
INDIGO-POJ-0046,195055.02,140701.68,180.47
INDIGO-POJ-0047,247113.25,272510.25,475.82
INDIGO-POJ-0048,136115.91,613247.45,891.21
INDIGO-POJ-0049,228312.03,835621.31,950.26
INDIGO-POJ-0050,371025.74,184337.83,520.66
INDIGO-POJ-0051,304837.22,245307.74,652.07
INDIGO-POJ-0052,376375.1,152584.78,250.33
