ID,Impact Bond Name,Stage of Development,Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Jurisdiction - Jurisdiction - (Value),Overall project finance – currency,Overall project finance – minimum,Overall project finance – exact,Overall project finance – max,Overall project finance – minimum in USD,Overall project finance – exact in USD,Overall project finance – maximum in USD,Overall Project Finance – maximum potential loss,Overall Project Finance – maximum potential return type,Overall project finance – maximum potential return,Overall project finance – investor repayment,Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),success
INDIGO-POJ-0001,Proyecta Tu Futuro [Plan Your Future] - Buenos Aires Youth Employability SIB,Complete,2010-07-24,2010-07-24,2013-02-06,2013-02-06,2010-07-24,2013-02-06,2013-02-06,928,928,Australia,GBP,199852.84,249816.05,299779.26,219838.12,274797.65,329757.18,49963.21,Fixed,62454.01,268552.25,GBP,228269.41,251096.35,GBP,249816.05,274797.65,2010-07-24,0.0975,2013-02-06,0.1258,Homelessness,Education,SDG 4,SDG 3,Target 10.4,Target 1.1,Youth,438,359,1
INDIGO-POJ-0002,Aspire Social Impact Bond Adelaide,Implementation,2024-07-29,2024-07-29,2029-07-04,2029-07-04,2024-07-29,2029-07-04,2029-07-04,1801,1801,Canada,CAD,129925.96,162407.46,194888.95,142918.56,178648.2,214377.84,32481.49,Variable,40601.86,170527.83,CAD,144948.65,159443.52,CAD,162407.46,178648.2,2024-07-29,0.0578,2029-07-04,0.0654,Homelessness,Education,SDG 15,SDG 9,Target 1.2,Target 7.3,Refugees,420,275,1
INDIGO-POJ-0003,Benevolent Society Social Benefit Bond (New South Wales),Planned,2018-07-10,2018-07-10,2020-01-24,2020-01-24,2018-07-10,2020-01-24,2020-01-24,563,563,USA,EUR,98586.76,123233.44,147880.13,108445.43,135556.79,162668.15,24646.69,Variable,30808.36,129395.12,EUR,109985.85,120984.43,EUR,123233.44,135556.79,2018-07-10,0.0933,2020-01-24,0.1012,Mental health,Criminal justice,SDG 9,SDG 2,Target 8.5,Target 2.4,Youth,500,390,1
INDIGO-POJ-0004,Journey to Social Inclusion (Victoria),Implementation,2025-10-20,2025-10-20,2027-03-11,2027-03-11,2025-10-20,2027-03-11,2027-03-11,507,507,Australia,USD,86587.04,108233.8,129880.56,95245.74,119057.18,142868.61,21646.76,Fixed,27058.45,114727.83,USD,97518.65,107270.52,USD,108233.8,119057.18,2025-10-20,0.0985,2027-03-11,0.1123,Homelessness,Employment and training,SDG 3,SDG 8,Target 2.4,Target 5.4,Refugees,579,539,1
INDIGO-POJ-0005,New South Wales Newpin Social Benefit Bond,Complete,2025-09-28,2025-09-28,2030-07-28,2030-07-28,2025-09-28,2030-07-28,2030-07-28,1764,1764,Australia,USD,346381.65,432977.06,519572.47,381019.81,476274.76,571529.71,86595.41,Fixed,108244.26,467615.22,USD,397472.94,437220.23,USD,432977.06,476274.76,2025-09-28,0.0606,2030-07-28,0.0883,Mental health,Criminal justice,SDG 8,SDG 6,Target 8.4,Target 5.5,Women,532,386,1
INDIGO-POJ-0006,On TRACC Social Impact Investment - New South Wales,Implementation,2010-09-20,2010-09-20,2013-06-27,2013-06-27,2010-09-20,2013-06-27,2013-06-27,1011,1011,USA,AUD,177357.52,221696.9,266036.28,195093.27,243866.59,292639.9,44339.38,Variable,55424.22,233890.23,AUD,198806.69,218687.36,AUD,221696.9,243866.59,2010-09-20,0.0762,2013-06-27,0.0789,Youth unemployment,Health,SDG 7,SDG 11,Target 4.4,Target 7.4,Women,342,329,1
INDIGO-POJ-0007,Resolve Social Benefit Bond (New South Wales),Complete,2019-08-11,2019-08-11,2023-11-18,2023-11-18,2019-08-11,2023-11-18,2023-11-18,1560,1560,USA,AUD,218222.41,272778.01,327333.61,240044.65,300055.81,360066.97,54555.6,Variable,68194.5,291872.47,AUD,248091.6,272900.76,AUD,272778.01,300055.81,2019-08-11,0.0646,2023-11-18,0.0795,Mental health,Education,SDG 5,SDG 17,Target 8.1,Target 1.1,Women,363,239,1
INDIGO-POJ-0008,The Youth CONNECT Social Benefit Bond (Queensland),Implementation,2018-08-19,2018-08-19,2021-10-08,2021-10-08,2018-08-19,2021-10-08,2021-10-08,1146,1146,Canada,CAD,173486.29,216857.86,260229.43,190834.92,238543.65,286252.37,43371.57,Variable,54214.46,228785.04,CAD,194467.29,213914.01,CAD,216857.86,238543.65,2018-08-19,0.0683,2021-10-08,0.0749,Youth unemployment,Criminal justice,SDG 9,SDG 1,Target 2.5,Target 5.3,Youth,645,655,1
INDIGO-POJ-0009,YouthChoices Social Benefit Bond (Queensland),Planned,2015-11-28,2015-11-28,2019-09-18,2019-09-18,2015-11-28,2019-09-18,2019-09-18,1390,1390,United Kingdom,GBP,225942.39,282427.99,338913.59,248536.63,310670.79,372804.95,56485.6,Fixed,70607.0,300785.81,GBP,255667.94,281234.74,GBP,282427.99,310670.79,2015-11-28,0.0893,2019-09-18,0.1046,Mental health,Employment and training,SDG 17,SDG 7,Target 3.3,Target 3.5,Youth,531,456,1
INDIGO-POJ-0010,PERSPEKTIVE: ARBEIT - Ökonomisches und soziales empowerment von gewaltbetroffenen Frauen  (Perspective: Work - Economic and social empowerment for women affected by violence),Planned,2018-02-21,2018-02-21,2020-11-11,2020-11-11,2018-02-21,2020-11-11,2020-11-11,994,994,United Kingdom,GBP,269572.66,336965.83,404358.99,296529.93,370662.41,444794.89,67393.17,Fixed,84241.46,355498.95,GBP,302174.11,332391.52,GBP,336965.83,370662.41,2018-02-21,0.0523,2020-11-11,0.0502,Mental health,Education,SDG 3,SDG 3,Target 8.1,Target 9.2,Women,686,596,0
