ID,Impact Bond Name - (Value),Alternative Names - (Value),Stage of Development - (Value),Stage of Development - (Source ID's),Social Investment Prototype - (Value),Dates - Date outcomes contract signed - (Value),Dates - Date contracts between all parties signed - (Value),Dates - Anticipated completion date - (Value),Dates - Actual completion date - (Value),Dates - Start date of service provision - (Value),Dates - Anticipated end date of service provision - (Value),Dates - Actual end date of service provision - (Value),Dates - Anticipated duration of service provision - (Value),Dates - Actual duration of service provision - (Value),Dates - (Source ID's),Dates - (Notes),Jurisdiction - Jurisdiction - (Value),Jurisdiction - (Source ID's),Jurisdiction - (Notes),Overall project finance - Total investment commitment - Currency - (Value),Overall project finance - Total investment commitment - Amount - Min - (Value),Overall project finance - Total investment commitment - Amount - Exact - (Value),Overall project finance - Total investment commitment - Amount - Max - (Value),Overall project finance - Total investment commitment - Amount USD - Min - (Value),Overall project finance - Total investment commitment - Amount USD - Exact - (Value),Overall project finance - Total investment commitment - Amount USD - Max - (Value),Overall project finance - Maximum potential outcome payment - Currency - (Value),Overall project finance - Maximum potential outcome payment - Amount - (Value),Overall project finance - Maximum potential outcome payment - Amount USD - (Value),Overall project finance - Maximum potential loss - (Value),Overall project finance - Maximum potential return type - (Value),Overall project finance - Maximum potential return - (Value),Overall project finance - Configuration of the Contracting Parties - (Value),Overall project finance - Investor repayment - (Value),Overall project finance - Total outcome payments made - Currency - (Value),Overall project finance - Total outcome payments made - Amount - (Value),Overall project finance - Total outcome payments made - Amount USD - (Value),Overall project finance - (Source ID's),Overall project finance - (Notes),Investment Details - Total Funds Invested - Latest - Currency - (Value),Investment Details - Total Funds Invested - Latest - Amount - (Value),Investment Details - Total Funds Invested - Latest - Amount USD - (Value),Investment Details - Total Funds Invested - Latest - Date - (Value),Investment Details - Internal Rate of Return - Target - (Value),Investment Details - Internal Rate of Return - Latest - (Value),Investment Details - Internal Rate of Return - Date - (Value),Investment Details - (Source ID's),Investment Details - (Notes),Purpose and classifications - Social challenge - (Value),Purpose and classifications - Intervention - (Value),Purpose and classifications - Policy sector - (Value),Purpose and classifications - Primary SDG goal - (Value),Purpose and classifications - Secondary SDG goals - (Value),Purpose and classifications - Primary SDG target - (Value),Purpose and classifications - Secondary SDG targets - (Value),Purpose and classifications - (Source ID's),Purpose and classifications - (Notes),Service and beneficiaries - Target population - (Value),Service and beneficiaries - Targeted number of unique service users or beneficiaries (total) - (Value),Service and beneficiaries - Unit type of targeted service users or beneficiaries - (Value),Service and beneficiaries - Unit description of targeted service user or beneficiaries - (Value),Service and beneficiaries - Actual number of unique service users or beneficiaries engaged (total) - (Value),Service and beneficiaries - Unit type of actual service users or beneficiaries engaged - (Value),Service and beneficiaries - Unit description of actual service user or beneficiaries engaged - (Value),Service and beneficiaries - (Source ID's),Service and beneficiaries - (Notes),Changes to project due to COVID-19 - (Value),Changes to project due to COVID-19 - (Source ID's),Notes - (Value)
INDIGO-POJ-0001,Proyecta Tu Futuro [Plan Your Future] - Buenos Aires Youth Employability SIB,VIS Buenos Aires,Complete,source9,NO,2018,,,,2018-12,2021-12,2022-05,36,41,"source2,source4",,AR,source1,,ARS,26620000,,48400000,1100000,,2000000,ARS,48400000,1245496.654657746,1,IRR,0.066,All investors were part of an SPV named 'Fideicomiso VIS',,,,,source9,"To convert minimum and maximum amounts of total investment commitment, we use the average exchange rate of the year in which Accrux Partners was structing the impact bond. To convert the amount of maximum potential outcome payment, we use the average exchange rate of the year in which the different investors disbursed the funds. All other prices in this spreadsheet are converted into USD using this last exchange rate. ",,,,,,,,source10,,Youth unemployment of extremely vulnerable youth.,"Reduce youth unemployment in the city of Buenos Aires, focusing on vulnerable unemployed young citizens and vulnerable young citizens that have not finished high school. The intervention will provide weekly workshops on soft skills training, employment support, orientation and intermediation with companies. The intervention seeks to help the participant find and retain a job, and graduate from high school (if the participant has not graduated yet).",Employment and training,8,,,,"source9,source7,source3,source10",,"Participants must meet the following criteria: (1) Ages between 17-24, (2) live in the communes 4, 7, 8, 9 or 10 of the city of Buenos Aires, (3) meet one of the following three criteria: (a) have finished high school, (b) currently coursing the last year of high school, or (c) have abandoned high school but have only 6 courses left to complete it, and (4) have no formal employment.",1000,Individual,"The total number of participants was set at 1,000, all between the ages of 17 and 24. Furthermore, someone within each participant’s household needed to be a beneficiary of the Universal Household Allocation
or BA Citizenship",875,Individual,,"source8,source7,source10",,Continue on outcomes contract with variations,source9,"Changes due to COVID-19 pandemic: it was agreed with the Government of the City of Buenos Aires that outcome achievements from vulnerable young people would be payed as outcome achievements of extremely vulnerable young people. Also, the Government expanded the target population of the project, adding the possibility to work with young people from other left behind neighborhoods. The period for entering a new job was extended form 6 to 12 months after finishing the trainig."
INDIGO-POJ-0002,Aspire Social Impact Bond Adelaide,,Implementation,,,2017-03,,,2024-12,2017-06,2021,2022,,,"source2,source3,source20",,,,,AUD,,9000000,,,6897830.457,,AUD,11000000,8430681.669666667,,,,,,,,,,,,,,,,,,,,,"The Aspire Program works with people experiencing chronic homelessness through long-term case management and assistance to secure sustainable housing, employment and other goals. The model applies the Housing First principle. Housing First is an approach to ending homelessness that centres on quickly moving people experiencing homelessness into independent and permanent housing and then providing additional supports and services as needed.  Under the Aspire service model, participants are provided stable accommodation, job readiness training, pathways to employment and life skills development. Importantly, they also have the long-term support of a dedicated ‘Navigator’ to help them connect with wider support services and identify and achieve their aspirations. The Aspire Program is designed as a three-year program with tiered intensity of support. Each individual’s journey will be unique, and the level of support will be adjusted to reflect their strengths and needs. ",Homelessness,,,,,"source13,source3",,"To be referred to the Aspire Program, individuals must meet the following eligibility criteria:
● Aged 18-55;
● Currently homeless, or about to be released from a partnering prison or discharged from a partnering hospital and identified as being at risk of homelessness;
● Have been homeless for at least three months in the preceding year (unless incarcerated or in hospital);
● Located in metropolitan Adelaide with the intention of staying in the area;
● Not subject to any unresolved criminal charges; and
● Entitled to a Medicare Card. Referrals will be accepted from providers of homelessness services, participating prisons (up to 10% of referrals), participating hospitals (up to 10% of referrals) and Housing SA. Significant demand is expected for the program, and referrals will be capped at the number of program vacancies. Eligible referrals will be accepted on a first come first served basis. ",600,Individual,,,,,source14,,,,"Government of South Australia is expected to make $17m payments to the Aspire SIB Trust, comprising $6m fixed Standing Charge payments and $11m contingent Outcome Payments"
INDIGO-POJ-0003,Benevolent Society Social Benefit Bond (New South Wales),Resilient Families Services,Complete,source15,,,,,,2013-10,,2018-06,,,"source3, source15",,,,,AUD,,10000000,,,9653971.758,,,,,,,,,,,,,,,,,,,,,,,,,"The Resilient Families Program is a therapeutic, evidence informed program that seeks to improve outcomes for children by building a protective network around them. Senior child and family practitioners develop a support plan in collaboration with each family to address the risks identified and meet the individual support needs of the family. The support plan goals are achieved through a mix of practical and therapeutic support. This includes training in the use of skills to manage stress and conflict, encouraging positive child behaviour, improving understanding of the child's develomental needs, and building the confidence necessary to tackle problems early before they become entrenched. The Program delivers a flexible twelve week intensive phase with access to 24/7 support if required. This is followed by less intensive support for up to 12 months to address a range of issues such as parental mental health issues, domestic and family violence, substance misuse, and neglect of their children. ",Child and family welfare,,,,,"source8,source1",,Families are eligible for referral to the service if they have at least one child less than six years old who is living at home and has been assessed by NSW Department of Family and Community Services (FACS) as at Risk of Significant Harm (ROSH) but ‘Safe with Plan’.,354,Other,Families  ,303,Other,Families  ,"source9, source15","In total, 354 families were referred to the RF service from the commencement of the programme, from October 2013 to the end of June 2018. Of these families, 303 were eligible in the SBB population for outcomes measurement. ",,,"The outcome measures are combined into a composite 'Improvement Percentage'. Ultimately, investor payments depend on the Performance Percentage which is based on the following:
• Average of the Improvement Percentage for each Annual Cohort* (“AvgIP”);
• Treatment Percentage – where children referred to the Program have been matched to a control child (“TreatP”);
• Unmatched Children Percentage – where children referred by FACS cannot be matched with a similar control child (“UnmatchedP”); and
• Guaranteed Referrals Shortfall Percentage – where FACS is unable to fill vacancies notified by The Benevolent Society within the agreed period of time up
to a guaranteed minimum (“GRSP”). The 'intenton to treat' evaluation design aims to estimate the effects of the programme as it is offered, or as assigned, and ignores any noncompliance or withdrawal that occurs following the random allocation. This approach was selected in order to minimise 'cherry-picking'. Final performance information is expected later in 2019. Further sources of information include: https://www.benevolent.org.au/about-us/innovative-approaches/social-benefit-bond and https://www.benevolent.org.au/ArticleDocuments/269/Social%20Benefit%20Bond_investor%20report_Oct2018.pdf.aspx"
INDIGO-POJ-0004,Journey to Social Inclusion (Victoria),,Implementation,,,,,,,2018-08,,,,,source3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Journey to Social Inclusion (J2SI) takes a relationship-based approach, provides long-term support, and works from the premise that if people can sustain their housing, this provides a solid foundation to improving other areas in people's lives.  The program aims to end the cycle of chronic homelessness by taking a relationship-based, trauma-informed and strengths-based approach in the context of long-term assertive case management supplemented by access to rapid housing.",Homelessness,,,,,"source1,source3",,"People aged between 25 and 65 years who are experiencing sustained and chronic homelessness.  To be eligible individuals must be chronically homeless and have been sleeping rough continuously for a minimum of one year and/or be currently homeless and have experienced three or more episodes of homelessness over the past three years.
There will be 3 cohorts (60 per year). Each cohort will receive 3 years of support",,,,,,,source8,,,,"Broader collection of program outcomes not linked to payments (for example, stronger community connections) will identify the broader impact and benefits of the program on participants and the wider community. 
The aspiration is that some capital will be provided through philanthropy.

The VCF Claire Susan Gardiner Trust provided a $50k grant to build a SIB toolkit to support the replication of the SIB: 
This project will support the development of a Social Impact Bond (SIB) Toolkit, ready for implementation to finance delivery of J2SI by other social service organisations in Australia. The Toolkit will provide organisations with the tools and support they need to negotiate, secure and manage a SIB so they are able to finance replicated delivery of J2SI with excellence in their local communities. The SIB Toolkit will act as a program delivery ‘enabler’ for organisations who would otherwise be unable to finance delivery of J2SI on their own, and provides the way forward for achieving the level of scaling J2SI needs to have far-reaching impact. It will be comprehensive and able to be tailored to meet the needs of the implementing organisation, such as financial modelling, data relevant to each state/territory, tools and implementation support."
INDIGO-POJ-0005,New South Wales Newpin Social Benefit Bond,,Complete,,NO,,,,2020-09,2013-06,,,,,"source4,source18",,,,,AUD,,7000000,,,6757780.231,,AUD,47000000,,,,,,,,,,,,,,,,,,,,,,"Newpin is a therapeutic, centre-based program that supports and empowers families to break the cycle of child abuse and neglect by providing safe, nurturing environments for their children. Newpin was developed in response to the needs of new mothers experiencing issues such as isolation, mental illness, family violence, social disadvantage, drug and alcohol misuse, low self-esteem and for those who were at risk of physically or emotionally harming their children. The Newpin model includes parenting modules, therapeutic group meetings, child development activities, and a supportive environment. The service delivery process includes the child being restored to the family and removed from out-of-home care when risk of harm to the child is reduced. Many families generally stay on the Newpin program for a period of six months after the restoration of a child to ensure the parents are supported during the transition and to maximise sustained restoration outcomes. 
",Child and family welfare,,,,,"source11,source3",,"Families with children aged less than five years who are either in statutory out-of-home care or are at risk of harm. The Newpin program works with three broad family cohorts: 
● Cohort 1: the first cohort comprises families that have at least one child aged less than five years who has been in out-of-home care for at least three months. (c. 50% of cases)
● Cohort 2: the second cohort comprises families that have at least one child aged less than five years that has been assessed as being at risk of serious harm. These children will either be the subject of a Supervision Order or a safety and risk assessment by FACS. (c. 25% of cases)
● Cohort 3: the balance of Newpin places are allocated to families with children under five years who do not meet the definitions above but have been identified as needing support to prevent deterioration in the family environment. These families are referred to as “Cohort 3”.",,,,700,Other,Families  ,source12,,,,The minimum Interest Rate is 5% p.a. over the first three years. The maximum Interest Rate is 15% p.a. over the full term. 100% of Principal will be repaid if the Restoration Rate over the full term is greater than 55%. A minimum of 50% of Principal will be repaid at the maturity date. The Counterfactual Rate of Restoration is fixed at 25% for three years whilst a suitable control group (the Live Matched Control Group) is constructed and studied. From the end of the three year period (the Counterfactual Review Date) the rate of restoration of the Live Matched Control Group is calculated and used as the Counterfactual Rate of Restoration. 
INDIGO-POJ-0006,On TRACC Social Impact Investment - New South Wales,,Complete,source8,NO,2016-07,,,,2016-09,,2019-01,,,"source2,source4","Following a review of Cohort 1, OnTRACC ended by mutual agreement in January 2019.  The review of Cohort 1 indicated that whilst there was a reduction, there was no statistical difference in the rate of re-incarceration between the treatment and comparative groups. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The On TRACC (Transition Reintegration and Community Connection) program aims to support parolees to reintegrate successfully into the community and reduce re-offending. The intensive support program aims to provide individualised support to parolees, particularly in the first 16 weeks of parole. It works to support parolees to successfully reintegrate into the community following their release from prison. The program will complement and build on existing support services for parolees provided by Corrective Services NSW.",Criminal justice,,,,,"source7,source1",,"Up to 3,900 adult parolees with a medium to high risk of reoffending, released to supervision in selected Sydney metropolitan areas.",,,,3900,Individual,,source7,,,,
INDIGO-POJ-0007,Resolve Social Benefit Bond (New South Wales),,Implementation,,,2017-04,,,2025-03,2017-01,,,,,"source5,source3",,,,,AUD,,7000000,,,5364979.244,,AUD,23900000,18317571.9902286,,,,,,,,,,,,,,,,,,,,,"The Resolve Program aims to improve the mental health and wellbeing of people experiencing mental health issues in the Western NSW and Nepean Blue Mountains Local Health Districts. An integrated service delivery model combining: a residential service for periodic crisis care delivered through Resolve centres; integrated psychosocial, medical and mental health support provided through outreach support to people in their homes; linkages to existing services including specialist drug and alcohol services; and a warm line for after-hours support from peers. Each participant will be supported by the Resolve Program for a two-year period with the aim of increasing the participant’s wellbeing and reducing their utilisation of health and other services. A differentiating feature of the Resolve model is that the majority of staff will be peer workers with a lived experience of a mental health issue who can draw upon their own personal experience to engage, support and be a role model for participants.",Health,,,,,"source13,source1",,"Participants are eligible if they: are aged 18 – 64 years; have been hospitalised for a mental health issue for extended periods within the last 12 months; live in and around Penrith or Orange; and do not have a diagnosis of dementia. Based on the above criteria, the Local Health District is responsible for determining patient eligibility and making referrals to the Program.",530,,,,,,source14,,,,"The Implementation Agreement includes an Agreed Minimum Referrals provision which commits the NSW Government, through the participating LHDs, to provide a minimum number of referrals to the Resolve Program each year. During the two-year program, participants are also expected to experience improvements in broader life domains including wellbeing, employment and housing status. These metrics will not determine Outcome Payments, however will be measured as part of the broader evaluation processes. "
INDIGO-POJ-0008,The Youth CONNECT Social Benefit Bond (Queensland),,Implementation,,,2017-06,,,,,,,,,source2,,,,,AUD,,5000000,,,3832128.031,,,,,,,,,,,,,,,,,,,,,,,,,"The Youth CONNECT SBB provides support for young people aged 15-25 exiting statutory care and at risk of homelessness. The ‘housing first’ approach recognises the importance of stable and secure housing to prevent immediate homelessness and provide a sense of safety — giving the young person an opportunity to focus on other important life-building skills. Participants are supported through the delivery of a comprehensive case management framework built on therapeutic and practical strategies and actions. The programme aims to help young care leavers enjoy better living conditions, enhanced participation in education and the workforce, better mental health outcomes, stronger personal relationships and improved social integration.
",Homelessness,,,,,"source7,source1",,"Young people aged 15 to 18 years exiting the child protection system who have had four or more placements. Young people aged 15 to 25 years exiting the youth justice system, adult corrections system or in contact with homelessness services, who have past experience with the child protection system.",,,,,,,source8,,,,
INDIGO-POJ-0009,YouthChoices Social Benefit Bond (Queensland),,Implementation,,,,,,,2019-10,,,,,source3,,,,,AUD,,8200000,,,5700903.489,,,,,,,,,,,,,,,,,,,,,,,,,"The YouthChoices SBB aims to reduce youth reoffending rates for young people. The programme is delivered using the Multi-Systemic Therapy model developed in the USA by highly-trained clinicians who work intensively with the families and care givers at least two or three times a week (or more as needed) in their homes. Clinicians are available 24 hours a day, 7 days a week for the duration of the Program’s involvement with the family and aims to support parents to implement strategies to reduce offending by the child. Multi Systemic Therapy considers the whole ecology of the young person and works across the key environments, or ‘systems’, family, peers, school, neighbourhood, cultural support network, that are in a young person’s life. It uses the strengths of each system to facilitate positive behavioural change.",Criminal justice,,,,,"source5,source1",,"The YouthChoices program is for young people who are subject to youth justice supervision, and aged 10-14 at moderate to very high risk of recidivism or aged 15-16 at high to very high risk; and their families. ",,,,,,,source4,,,,
INDIGO-POJ-0010,PERSPEKTIVE: ARBEIT - Ökonomisches und soziales empowerment von gewaltbetroffenen Frauen  (Perspective: Work - Economic and social empowerment for women affected by violence),,Complete,,,,,,,2015-09,,2018-08,,,"source2,source11",,,,,EUR,,804688,,,892452.7279917228,,,,,,,,,,,,,,Financing is generally done by issuing loans that are repaid to the upfront financiers at a low interest rate of 1% p.a. if the predefined goals are met. Juvat gGmbH waives interest on the funding it provides. The value of 'total investment commitment' corresponds to the funding provided including 1 % p.a. interest on the loans.,,,,,,,,,,,"During the counseling and placement process, the appropriate type of support is determined on an individual basis by working closely with existing services and programs offered by the Austrian Public Employment Service (Arbeitmarktservice – AMS) and women’s organisations. The participating women are given a safe environment and receive intensive councelling to identify and reduce their barriers to employment. After being successfully placed in employment, the women receive follow-up support. ",Employment and training,,,,,"source7,source4",,"Women affected by violence in the state of Upper Austria who have been in contact with a women’s shelter or a Center for Protection Against Violence (Gewaltschutzzentrum) in Upper Austria within the last 24 months, are legal residents of Austria, are of working age, and have valid work permits, do not earn a living wage, or are at risk of losing their jobs due to their stay in a women's shelter or their affection by violence. ",75,Individual,,75,Individual,,"source5,source11",,,,"1) The Federal Minister of the Austrian Public Emloyment Service announced in a press release in 11/2018 that the programme will receive funding for another year, but it could not be verified whether the programme was actually continued. The programme is supposed to be continued by the Austrian Public Emloyment Service from 2020. 2) Considering the context, ""project duration"" was interepreted as service delivery duration (""which stipulates that for the duration of the project (from September 2015 to August 2018) a defined number of women affected by violence will be placed in jobs""). 3) Key source: The first Austrian social impact bond: Economic and social empowerment for women affected by violence (Juvat). 4) Further co-operation partners: Austrian Public Employment Service and federal state ""Upper Austria"" (provider side) and federal state ""Upper Austria"" and Federal Ministry for Education and Women (commissioner side). 5) Figure in max outcomes funding is described as ""Premium (amount corresponds to the funding provided including 1% p.a. interest on the loans)"" 6) The press release reports that the targets were not met, so no outcomes payments were made. However, it is not possible to reconcile the reported numbers of target and achieved outcomes."
