Project ID,Outcome Payment Plan Id - (Value),Outcome Metric Id - (Value),Period - Start - (Value),Period - End - (Value),Payer Organisation ID - (Value),Recipient Organisation ID - (Value),Type - (Value),Payments - Currency - (Value),Payments - Amount - (Value),Payments - Amount USD - (Value),(In Sandboxes),Sources,Notes
INDIGO-POJ-0014,,outcomemetric1,2019-11,2021-03,INDIGO-ORG-0073,INDIGO-ORG-0074,Actual,USD,3125000,3125000,,,
INDIGO-POJ-0121,plan1,outcomemetric1,2018-10,2022-10,,,Actual,GBP,115940,93911.40000000001,,,
INDIGO-POJ-0121,plan1,outcomemetric2,2018-10,2022-10,,,Actual,GBP,99660,80724.6,,,
INDIGO-POJ-0121,plan1,outcomemetric3,2018-10,2022-10,,,Actual,GBP,106040,85892.40000000001,,,
INDIGO-POJ-0121,plan1,outcomemetric4,2018-10,2022-10,,,Actual,GBP,102520,83041.20000000001,,,
INDIGO-POJ-0121,plan1,outcomemetric5,2018-10,2022-10,,,Actual,GBP,44440,35996.4,,,
INDIGO-POJ-0121,plan1,outcomemetric6,2018-10,2022-10,,,Actual,GBP,31900,25839,,,
INDIGO-POJ-0121,plan1,outcomemetric7,2018-10,2022-10,,,Actual,GBP,26620,21562.2,,,
INDIGO-POJ-0121,plan1,outcomemetric8,2018-10,2022-10,,,Actual,GBP,23320,18889.2,,,
INDIGO-POJ-0121,plan1,outcomemetric9,2018-10,2022-10,,,Actual,GBP,75680,61300.8,,,
INDIGO-POJ-0121,plan1,outcomemetric10,2018-10,2022-10,,,Actual,GBP,156090,126432.9,,,
INDIGO-POJ-0121,plan1,outcomemetric11,2018-10,2022-10,,,Actual,GBP,52030,42144.3,,,
INDIGO-POJ-0121,plan1,outcomemetric12,2018-10,2022-10,,,Actual,GBP,6600,5346,,,
INDIGO-POJ-0121,plan1,outcomemetric13,2018-10,2022-10,,,Actual,GBP,11000,8910,,,
INDIGO-POJ-0121,plan1,outcomemetric14,2018-10,2022-10,,,Actual,GBP,5500,4455,,,
INDIGO-POJ-0121,plan1,outcomemetric15,2018-10,2022-10,,,Actual,GBP,14190,11493.9,,,
INDIGO-POJ-0121,plan1,outcomemetric16,2018-10,2022-10,,,Actual,GBP,3190,2583.9,,,
INDIGO-POJ-0121,plan1,outcomemetric17,2018-10,2022-10,,,Actual,GBP,4180,3385.8,,,
INDIGO-POJ-0121,plan1,outcomemetric18,2018-10,2022-10,,,Actual,GBP,1980,1603.8,,,
INDIGO-POJ-0121,plan1,outcomemetric19,2018-10,2022-10,,,Actual,GBP,83160,67359.6,,,
INDIGO-POJ-0121,plan1,outcomemetric20,2018-10,2022-10,,,Actual,GBP,313500,253935,,,
