Project ID,Outcome Metric Id - (Value),Result level - (Value),Result type - (Value),Period - Start - (Value),Period - End - (Value),Outcomes achieved - (Value),Number engaged In impact bond - (Value),Number with Positive social outcomes - (Value),Other Description of result - (Value),Outcomes validator(s) - (Value),Evaluation Documents - (Value),Sources,Notes,(In Sandboxes)
INDIGO-POJ-0001,outcomemetric1,Outcome level,Interim,2018-12,2020-08,Expected results - support to complete secondary education was 29% - 42% of population (290-420); Actual was 12.8% (96),420,96,,,,,,
INDIGO-POJ-0001,outcomemetric2,Outcome level,Interim,2018-13,2020-09,Expected results - access to employment in the formal education was 28% - 36% of population (288-360); Actual was 33.8% (254),360,254,,,,,,
INDIGO-POJ-0001,outcomemetric3,Outcome level,Interim,2018-14,2020-10,Expected results - employment sustained for 4 months was 21% - 34% of population (216-260); Actual was 18.8% (141),260,141,,,,,,
INDIGO-POJ-0001,outcomemetric4,Outcome level,Interim,2018-15,2020-11,Expected results -employment sustained for 12 months was not specified; Actual was 2.9% (22),,22,,,,,,
INDIGO-POJ-0001,outcomemetric5,Outcome level,Interim,2018-16,2020-12,Expected results - expansion of the labour market. Expected was not specified; Actual was also not specified,,,,,,,,
INDIGO-POJ-0003,outcomemetric1,Outcome level,Final,2013-06,2018-10,"The RF service was effective in reducing the likelihood of OOHC placements, with 184 fewer Index Children compared to Control Children entering care during the measurement period. This difference was statistically significant (p<.05) and driven by a higher number of entries into care by the children in the Control Group in the first three months of the measurement period ",303 children and their families,,,,source15,,,
INDIGO-POJ-0003,outcomemetric2,Outcome level,Final,2013-06,2018-10,"The RF service had a limited impact on the number of SARAs commenced for Index Children relative to Control Children. Similar to Helpline reports, Index and Control Children had an absolute reduction in the number of SARAs commenced over the measurement period.",303 children and their families,,,,source15,,,
INDIGO-POJ-0003,outcomemetric3,Outcome level,Final,2013-06,2018-10,"The RF service had a limited impact on the number of Helpline reports received for Index Children relative to Control Children. While the total number reduced over time, Index Children received more Helpline reports in the first nine months after RF service start than Control. Children over the same period. After nine months, both groups received a similar and declining number of reports. This finding was consistent with previous evaluation reports, which noted that Index Children may have experienced higher numbers of reports than Control Children due to surveillance bias (i.e. the number of helpline reports is linked to the level of contact with service providers)",303 children and their families,,,,source15,,,
INDIGO-POJ-0005,outcomemetric1,Outcome level,Final,2013-07,2019-12,"Almost 850 children from over 500 families have participated in Newpin with either restoration or preservation as their case plan goal. The net restoration rate for Newpin under this evaluation at 31 December 2019 is
59%. It is nearly three times higher than the Counterfactual Rate of Restoration that was used in the SBB arrangement (20%). Around two-thirds (65%) of children who were at risk of being removed from their families were able to remain with their parents and not enter OOHC.",,,,,source19,,,
INDIGO-POJ-0006,outcomemetric1,Outcome level,Final,2016-09,2018-09,The final report does not find evidence that participation in the On TRACC programme led to a reduction in parolee recidivism in comparison with existing services provided by NSWCC.,,,,,,,"The report examines the probability of return to custody, reconviction, reimprisonment, and committing a personal, property, or serious drug offence within 12 months of release from prison. In the full sample (N = 1,879), offenders assigned to On TRACC had very similar rates of recidivism compared with the comparison group and the differences are not statistically significant across each measure of recidivism.",
INDIGO-POJ-0007,outcomemetric1,Project level,Interim,2016-10,2018-06,"Resolve has supported 167 clients in its first year, exceeding its target of 160. Almost 60% of clients accessing the program have a diagnoses of schizo-phrenia or other psychoses-related disorders, indicating that the reach is appropriately focussed on people who live with severe and persistent mental illness. ",,,,,,,,
