Project ID,Id,Organisation ID - (Value),Organisation Role Category - (Value),Intervention - (Value),Planned Service - Start - (Value),Planned Service - End - (Value),Actual Service - Start - (Value),Actual Service - End - (Value),Alterations to service - Description - (Value),Alterations to service - Reason - (Value),Sources,Notes
INDIGO-POJ-0001,serviceprovision1,INDIGO-ORG-0496,,,,,,,,,,
INDIGO-POJ-0001,serviceprovision2,INDIGO-ORG-0497,,,,,,,,,,
INDIGO-POJ-0001,serviceprovision3,INDIGO-ORG-0498,,,,,,,,,,
INDIGO-POJ-0001,serviceprovision4,INDIGO-ORG-0499,,,,,,,,,,
INDIGO-POJ-0002,serviceprovision1,INDIGO-ORG-0694,,,,,,,,,,
INDIGO-POJ-0003,serviceprovision1,INDIGO-ORG-0567,,,,,,,,,,
INDIGO-POJ-0004,serviceprovision1,INDIGO-ORG-0916,,,,,,,,,,
INDIGO-POJ-0005,serviceprovision1,INDIGO-ORG-0011,,,,,,,,,,
INDIGO-POJ-0006,serviceprovision1,INDIGO-ORG-0962,,,,,,,,,,
INDIGO-POJ-0006,serviceprovision2,INDIGO-ORG-0966,,,,,,,,,,
INDIGO-POJ-0007,serviceprovision1,INDIGO-ORG-0214,,,,,,,,,,
INDIGO-POJ-0008,serviceprovision1,INDIGO-ORG-0934,,,,,,,,,,
INDIGO-POJ-0009,serviceprovision1,INDIGO-ORG-0612,,,,,,,,,,
INDIGO-POJ-0010,serviceprovision1,INDIGO-ORG-0197,,,,,,,,,,
INDIGO-POJ-0010,serviceprovision2,INDIGO-ORG-0198,,,,,,,,,,
INDIGO-POJ-0011,serviceprovision1,INDIGO-ORG-0039,,,,,,,,,,
INDIGO-POJ-0012,serviceprovision1,INDIGO-ORG-0139,,,,,,,,,,
INDIGO-POJ-0013,serviceprovision1,INDIGO-ORG-0706,,,,,,,,,,
INDIGO-POJ-0014,serviceprovision1,INDIGO-ORG-0072,,,,,,,,,,
INDIGO-POJ-0015,serviceprovision1,INDIGO-ORG-0458,,,,,,,,,,
INDIGO-POJ-0015,serviceprovision2,INDIGO-ORG-0459,,,,,,,,,,
INDIGO-POJ-0015,serviceprovision3,INDIGO-ORG-0460,,,,,,,,,,"Those hospitals are: Garoua Regional Hospital, Ngaoundere Regional Hospital, Ngaoundere Protestant Hospital, HGOPY, Bafia District Hospital, Yaounde University Teaching Hospital, Laquintinie Hospital in Douala, Bonassama District Hospital, HGOPED and Buea Regional Hospital. "
INDIGO-POJ-0016,serviceprovision1,INDIGO-ORG-0434,,,,,,,,,,
INDIGO-POJ-0017,serviceprovision1,INDIGO-ORG-0549,,,,,,,,,,
INDIGO-POJ-0018,serviceprovision1,INDIGO-ORG-0759,,,,,,,,,,
INDIGO-POJ-0019,serviceprovision1,INDIGO-ORG-0669,,,,,,,,,,
INDIGO-POJ-0019,serviceprovision2,INDIGO-ORG-0670,,,,,,,,,,
INDIGO-POJ-0019,serviceprovision3,INDIGO-ORG-0671,,,,,,,,,,
INDIGO-POJ-0020,serviceprovision1,INDIGO-ORG-0588,,,,,,,,,,
INDIGO-POJ-0021,serviceprovision1,INDIGO-ORG-1018,,,,,,,,,,
INDIGO-POJ-0022,serviceprovision1,INDIGO-ORG-0275,,,,,,,,,,
INDIGO-POJ-0022,serviceprovision2,INDIGO-ORG-0276,,,,,,,,,,
INDIGO-POJ-0022,serviceprovision3,INDIGO-ORG-1043,,,,,,,,,,
INDIGO-POJ-0022,serviceprovision4,INDIGO-ORG-1044,,,,,,,,,,
INDIGO-POJ-0023,serviceprovision1,INDIGO-ORG-1043,,,,,,,,,,
INDIGO-POJ-0023,serviceprovision2,INDIGO-ORG-1044,,,,,,,,,,
INDIGO-POJ-0023,serviceprovision3,INDIGO-ORG-1045,,,,,,,,,,
INDIGO-POJ-0023,serviceprovision4,INDIGO-ORG-0276,,,,,,,,,,
INDIGO-POJ-0024,serviceprovision1,INDIGO-ORG-0545,,,,,,,,,,
INDIGO-POJ-0025,serviceprovision1,INDIGO-ORG-0382,,,,,,,,,,
INDIGO-POJ-0025,serviceprovision2,INDIGO-ORG-0383,,,,,,,,,,
INDIGO-POJ-0025,serviceprovision3,INDIGO-ORG-0384,,,,,,,,,,
