Project ID,Id,Name - (Value),Type - (Value),Publishing Organisations - (Value),URL - (Value),Archive URL - (Value),Internal URL - (Value),Publication Date - (Value),Accessed Date - (Value),Notes
INDIGO-POJ-0001,source1,https://beccarvarela.com/wp-content/uploads/2019/01/ll_bis_09-01-2019.pdf [Access: 22 jul 2019],,,,,,,,
INDIGO-POJ-0001,source2,Interview with Flavia Tinelli from Acrux Partners on the 31/05/19 [Information provided by MAZE],,,,,,,,
INDIGO-POJ-0001,source3,Impact Bonds in Developing Countries: Early Findings from the Field [PDF]. https://www.brookings.edu/research/impact-bonds-in-developing-countries-early-learnings-from-the-field/,,,,,,,,
INDIGO-POJ-0001,source4,Translation from Patricia: http://www.noticiasurbanas.com.ar/noticias/proyecta-tu-futuro-el-nuevo-programa-del-gobierno-para-jovenes-de-zona-sur/ [Access: 22 jul 2019],,,,,,,,
INDIGO-POJ-0001,source5,Translation from Patricia: https://www.cronista.com/responsabilidad/Los-bonos-de-impacto-social-llegan-a-la-Argentina-20190117-0002.html [Access: 22 jul 2019],,,,,,,,
INDIGO-POJ-0001,source6,https://beccarvarela.com/wp-content/uploads/2019/02/ok_iflr_bis.pdf [Access: 22 jul 2019],,,,,,,,
INDIGO-POJ-0001,source7,GO Lab Argentina Case Study contains information provided by the intermediary via interviews,,,,,,,,
INDIGO-POJ-0001,source8,Translation from Patricia: https://www.buenosaires.gob.ar/proyectatufuturo/proyecta-tu-futuro [Access: 22 jul 2019],,,,,,,,
INDIGO-POJ-0001,sourcehackandlearn2020,Hack and Learn - September 2020,,,,,,,,
INDIGO-POJ-0001,sourcehackandlearn2021-08,Hack and Learn - August 2021,,,,,,,,
INDIGO-POJ-0001,source9,Interview with Accrux Partners on 03/02/2022,,,,,,,,
INDIGO-POJ-0001,source10,Case Study by Innovative Finance for Education,Report,,https://s3.eu-west-2.amazonaws.com/golab.prod/documents/proyecta-tu-futuro-a-social-impact-bond-for-education-and-employability-traini_Vj1VJTr.pdf,,,,,
INDIGO-POJ-0002,source1,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source2,"Inferred from Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 3 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source3,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 3 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source4,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 5 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf",,,,,,,,
INDIGO-POJ-0002,source5,"Social Ventures Australia Aspire Social Impact Bond Annual Investor report, 2018 p. 4 accessed on 24/07/2019 at file:///Users/bsog0147/Downloads/993_aspire_sib_annual_investor_report_2018-web_singles.pdf note that 'SIB term' may not equate directly to the service delivery duration.",,,,,,,,
