Project ID,Investment Id - (Value),Outcome Metric Id - (Value),Date - (Value),Sending Organisation ID - (Value),Receiving Organisation ID - (Value),Transaction Type - (Value),Money - Currency - (Value),Money - Amount - (Value),Money - Amount USD - (Value),Sources,Notes,(In Sandboxes)
INDIGO-POJ-0158,investment1,,2018-03,INDIGO-ORG-0008,INDIGO-ORG-0127,Debt,GBP,155000,206801,,Fully drawn,
INDIGO-POJ-0158,investment1,,2018-09,INDIGO-ORG-0127,INDIGO-ORG-0008,Interest Payment,GBP,4913,6554.9246,,,
INDIGO-POJ-0158,investment1,,2019-03,INDIGO-ORG-0127,INDIGO-ORG-0008,Interest Payment,GBP,5024,6703.0208,,,
INDIGO-POJ-0158,investment1,,2019-06,INDIGO-ORG-0127,INDIGO-ORG-0008,Interest Payment,GBP,2512,3351.5104,,,
INDIGO-POJ-0158,investment1,,2019-09,INDIGO-ORG-0127,INDIGO-ORG-0008,Interest Payment,GBP,2539,3387.5338,,,
INDIGO-POJ-0158,investment1,,2019-12,INDIGO-ORG-0127,INDIGO-ORG-0008,Capital Repayment,GBP,32539,43413.5338,,,
INDIGO-POJ-0158,investment1,,2020-03,INDIGO-ORG-0127,INDIGO-ORG-0008,Capital Repayment,GBP,47026,62742.0892,,,
INDIGO-POJ-0167,investment1,,2019-03,INDIGO-ORG-0008,INDIGO-ORG-1060,Debt,GBP,100000,133420,,This is the first of multiple expected draw downs that have not yet occured.,
INDIGO-POJ-0167,investment1,,2019-04,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,26400,35222.88,,April 19 outcomes for addaction all encompassing for period between Nov 18 - April 19,
INDIGO-POJ-0167,investment1,,2019-05,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,32400,43228.08,,,
INDIGO-POJ-0167,investment1,,2019-06,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,16800,22414.56,,,
INDIGO-POJ-0167,investment1,,2019-07,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,42000,56036.4,,,
INDIGO-POJ-0167,investment1,,2019-08,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,28800,38424.96,,,
INDIGO-POJ-0167,investment1,,2019-09,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,40800,54435.36,,,
INDIGO-POJ-0167,investment1,,2019-10,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,27600,36823.92,,,
INDIGO-POJ-0167,investment1,,2019-11,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,30600,40826.52,,,
INDIGO-POJ-0167,investment1,,2019-12,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,50400,67243.68,,,
INDIGO-POJ-0167,investment1,,2020-01,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,21600,28818.72,,,
INDIGO-POJ-0167,investment1,,2020-02,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,52800,70445.76,,,
INDIGO-POJ-0167,investment1,,2020-03,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,42000,56036.4,,,
INDIGO-POJ-0167,investment1,,2020-05,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,34400,45896.48,,,
INDIGO-POJ-0167,investment1,,2020-06,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,25200,33621.84,,,
INDIGO-POJ-0167,investment1,,2020-07,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,13200,17611.44,,,
INDIGO-POJ-0167,investment1,,2020-08,INDIGO-ORG-1061,INDIGO-ORG-1060,Outcome Payment,GBP,31000,41360.2,,,
INDIGO-POJ-0194,investment1,,2020-09,INDIGO-ORG-0008,INDIGO-ORG-1156,Debt,GBP,200000,257260,,The investment from BII into the Pyramid project is through an SPV: Big Fostering Partnership,
INDIGO-POJ-0195,investment1,,2020-08,INDIGO-ORG-0008,INDIGO-ORG-1116,Debt and Equity,GBP,362500,474875,,,
INDIGO-POJ-0195,investment2,,2020-08,INDIGO-ORG-0381,INDIGO-ORG-1117,Debt and Equity,GBP,362500,474875,,,
INDIGO-POJ-0195,investment3,,2020-08,INDIGO-ORG-0132,INDIGO-ORG-1118,Debt and Equity,GBP,175000,229250,,,
INDIGO-POJ-0195,investment4,,2020-08,INDIGO-ORG-0133,INDIGO-ORG-1119,Debt,GBP,100000,131000,,,
